question,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation
"What is the worst-case time complexity of QuickSort when the pivot selection always picks the smallest or largest element?","O(n log n)","O(n^2)","O(n)","O(log n)","B","DSA","Easy","When QuickSort consistently selects an extreme element as the pivot, the recursion tree degenerates into depth n, yielding O(n^2) worst-case time complexity."
"Which of the following data structures is preferred for implementing Breadth-First Search (BFS) on a graph?","Stack","Priority Queue","Queue","Binary Search Tree","C","DSA","Easy","BFS explores nodes level by level in First-In-First-Out order, making a Queue the standard data structure."
"In an AVL tree, what is the maximum allowed difference between heights of left and right subtrees for any node?","0","1","2","log(n)","B","DSA","Easy","The balance factor of an AVL tree node is defined as height(left) - height(right), which must strictly be -1, 0, or +1."
"What is the time complexity to find the median of an unsorted array of size n using the Quickselect algorithm in average case?","O(1)","O(log n)","O(n)","O(n log n)","C","DSA","Medium","Quickselect discards half of the search partition at each step on average (n + n/2 + n/4 + ...), summing geometrically to O(n)."
"Which collision resolution technique in Hash Tables suffers from primary clustering?","Quadratic Probing","Double Hashing","Separate Chaining","Linear Probing","D","DSA","Medium","Linear probing places colliding keys into contiguous occupied slots, causing clusters to merge and grow rapidly (primary clustering)."
"In Floyd-Warshall's algorithm, what does the matrix cell D[i][j] represent after k outer loop iterations?","Shortest path using at most k edges","Shortest path using intermediate vertices from {1, 2, ..., k}","Longest cycle length through vertex k","Minimum spanning tree weight between i and j","B","DSA","Medium","Floyd-Warshall dynamic programming states that after step k, D[i][j] holds the shortest distance using only vertices {1..k} as intermediate nodes."
"What is the amortized time complexity of inserting n elements into an initially empty dynamic array (like std::vector) that doubles capacity upon filling?","O(1) per insertion","O(n) per insertion","O(log n) per insertion","O(n^2) total","A","DSA","Medium","Although resizing takes O(n), it occurs exponentially less often, leading to total cost O(n) for n inserts, or O(1) amortized per insert."
"Which algorithm finds the strongly connected components (SCCs) of a directed graph using two DFS traversals?","Tarjan's Algorithm","Kosaraju's Algorithm","Dijkstra's Algorithm","Kruskal's Algorithm","B","DSA","Medium","Kosaraju's algorithm performs one DFS to record finish times, reverses graph edges, and performs a second DFS on the transposed graph."
"What is the maximum number of nodes in a binary tree of height h (where a tree with just the root has height 0)?","2^h","2^(h+1) - 1","2^h - 1","2^(h-1) + 1","B","DSA","Easy","Sum of powers of 2 from level 0 to h is 1 + 2 + 4 + ... + 2^h = 2^(h+1) - 1."
"Which data structure is most suitable for implementing an LRU (Least Recently Used) Cache with O(1) get and put operations?","Array + Stack","Hash Map + Doubly Linked List","Binary Heap + Queue","Red-Black Tree","B","DSA","Medium","A Hash Map provides O(1) lookup to nodes, while a Doubly Linked List allows O(1) removal and re-insertion at the head."
